title,slug,url
"Branded Websites, Presentations, Dashboards, and PDFs with Quarto",quarto-brand,https://pos.it/quarto-brand-conf25
Causal Inference in R,causal,https://pos.it/causal-conf25
Data Science Workflows with Posit Tools - R Focus,ds-workflows-r,https://pos.it/ds-workflows-r-conf25
Data Talks: How to make your data science accessible,data-talks,https://pos.it/data-talks-conf25
Deploying reproducible analytics environments for regulated use cases,reproducible-environments,https://pos.it/reproducible-environments-conf25
End-to-End Submissions in R with the Pharmaverse,pharmaverse,https://pos.it/pharmaverse-conf25
Extending Quarto,quarto-extend,https://pos.it/quarto-extend-conf25
From R User to R Programmer,r-programming,https://pos.it/r-programming-conf25
Getting More Out of Feature Engineering and Tuning for Machine Learning,feat-eng-tune,https://workshops.tidymodels.org
Introduction to machine learning in R with tidymodels,tidymodels,https://workshops.tidymodels.org
Machine learning with scikit-learn in Python,scikit-learn,https://pos.it/scikit-learn-conf25
Mastering Data Visualization with ggplot2: Latest Techniques and Best Practices,ggplot2,https://pos.it/ggplot2-conf25
Package Development: The Rest of the Owl,pkg-dev,https://pos.it/pkg-dev-conf25
Programming with LLM APIs: A Beginner’s Guide in R and Python,llm,https://pos.it/llm-conf25
R in Production,r-production,https://pos.it/r-production-conf25
Shiny for Python,shiny-py,https://pos.it/shiny-py-conf25
Shiny for R,shiny-r,https://pos.it/shiny-r-conf25
